file_path,file_name,mall_folder,recibos_subgroup,recibos_year_folder,recibos_year,no_servicio,cuenta,tarifa,periodo_inicio_raw,periodo_fin_raw,periodo_inicio,periodo_fin,kwh,importe,pagos_pendientes,billing_days,period_key,pdf_no_servicio_nunique,pdf_cuenta_nunique,flag_pdf_mixed_no_servicio,flag_pdf_mixed_cuenta,kwh_por_dia,importe_por_dia,costo_por_kwh,flag_missing_kwh,flag_missing_dates,flag_bad_days
/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/ADOLFO DOMINGUEZ.pdf,ADOLFO DOMINGUEZ.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,671171100421,32DK04G013530132,PDBT,20 OCT 23,21 DIC 23,2023-10-20,2023-12-21,2551,11617.0,11617.0,63.0,2023-10-20__2023-12-21,1,1,False,False,40.492063492063494,184.3968253968254,4.5539004312034495,False,False,False
/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/AT&T 1.pdf,AT&T 1.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,671180602111,32DK04G013530451,PDBT,20 JUN 25,20 AGO 25,2025-06-20,2025-08-20,5506,26534.0,26534.0,62.0,2025-06-20__2025-08-20,1,1,False,False,88.80645161290323,427.96774193548384,4.8191064293498,False,False,False
/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/AT&T 1.pdf,AT&T 1.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,671180602111,32DK04G013530451,PDBT,23 ABR 25,20 JUN 25,2025-04-23,2025-06-20,5808,27285.0,27285.0,59.0,2025-04-23__2025-06-20,1,1,False,False,98.44067796610169,462.45762711864404,4.697830578512397,False,False,False
/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/AT&T 1.pdf,AT&T 1.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,671180602111,32DK04G013530451,PDBT,20 FEB 25,23 ABR 25,2025-02-20,2025-04-23,6299,29582.0,29582.0,63.0,2025-02-20__2025-04-23,1,1,False,False,99.98412698412699,469.55555555555554,4.696301000158756,False,False,False
/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/AT&T 1.pdf,AT&T 1.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,671180602111,32DK04G013530451,PDBT,23 DIC 24,20 FEB 25,2024-12-23,2025-02-20,5629,26407.0,26407.0,60.0,2024-12-23__2025-02-20,1,1,False,False,93.81666666666666,440.1166666666667,4.691241783620536,False,False,False
/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/AT&T 1.pdf,AT&T 1.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,671180602111,32DK04G013530451,PDBT,23 OCT 24,23 DIC 24,2024-10-23,2024-12-23,6061,28463.0,28463.0,62.0,2024-10-23__2024-12-23,1,1,False,False,97.75806451612904,459.0806451612903,4.696089754165979,False,False,False
/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/AT&T 1.pdf,AT&T 1.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,671180602111,32DK04G013530451,PDBT,22 AGO 24,23 OCT 24,2024-08-22,2024-10-23,6412,30107.0,30107.0,63.0,2024-08-22__2024-10-23,1,1,False,False,101.77777777777777,477.8888888888889,4.695414847161572,False,False,False
/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/AT&T 1.pdf,AT&T 1.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,671180602111,32DK04G013530451,PDBT,20 JUN 24,22 AGO 24,2024-06-20,2024-08-22,7042,32869.0,32869.0,64.0,2024-06-20__2024-08-22,1,1,False,False,110.03125,513.578125,4.667566032377166,False,False,False
/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/AT&T 1.pdf,AT&T 1.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,671180602111,32DK04G013530451,PDBT,22 ABR 24,20 JUN 24,2024-04-22,2024-06-20,7013,32132.0,32132.0,60.0,2024-04-22__2024-06-20,1,1,False,False,116.88333333333334,535.5333333333333,4.581776700413518,False,False,False
/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/AT&T 1.pdf,AT&T 1.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,671180602111,32DK04G013530451,PDBT,22 FEB 24,22 ABR 24,2024-02-22,2024-04-22,6150,28188.0,28188.0,61.0,2024-02-22__2024-04-22,1,1,False,False,100.81967213114754,462.0983606557377,4.583414634146341,False,False,False
/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/AT&T 1.pdf,AT&T 1.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,671180602111,32DK04G013530451,PDBT,21 DIC 23,22 FEB 24,2023-12-21,2024-02-22,6250,28304.0,28304.0,64.0,2023-12-21__2024-02-22,1,1,False,False,97.65625,442.25,4.52864,False,False,False
/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/AT&T 1.pdf,AT&T 1.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,671180602111,32DK04G013530451,PDBT,20 OCT 23,21 DIC 23,2023-10-20,2023-12-21,6854,31052.0,31052.0,63.0,2023-10-20__2023-12-21,1,1,False,False,108.7936507936508,492.8888888888889,4.5304931426904,False,False,False
/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/AT&T 2.pdf,AT&T 2.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,671240551685,32DK04G013532338,PDBT,20 JUN 25,20 AGO 25,2025-06-20,2025-08-20,1850,8977.0,8977.0,62.0,2025-06-20__2025-08-20,1,1,False,False,29.838709677419356,144.79032258064515,4.852432432432432,False,False,False
/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/AT&T 2.pdf,AT&T 2.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,671240551685,32DK04G013532338,PDBT,23 ABR 25,20 JUN 25,2025-04-23,2025-06-20,1836,8689.0,8689.0,59.0,2025-04-23__2025-06-20,1,1,False,False,31.11864406779661,147.27118644067798,4.732570806100218,False,False,False
/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/AT&T 2.pdf,AT&T 2.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,671240551685,32DK04G013532338,PDBT,20 FEB 25,23 ABR 25,2025-02-20,2025-04-23,548,2658.0,2658.0,63.0,2025-02-20__2025-04-23,1,1,False,False,8.698412698412698,42.19047619047619,4.850364963503649,False,False,False
/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/AT&T 2.pdf,AT&T 2.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,671240551685,32DK04G013532338,PDBT,23 DIC 24,20 FEB 25,2024-12-23,2025-02-20,482,2346.0,2346.0,60.0,2024-12-23__2025-02-20,1,1,False,False,8.033333333333333,39.1,4.867219917012448,False,False,False
/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/AT&T 2.pdf,AT&T 2.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,671240551685,32DK04G013532338,PDBT,23 OCT 24,23 DIC 24,2024-10-23,2024-12-23,710,3409.0,3409.0,62.0,2024-10-23__2024-12-23,1,1,False,False,11.451612903225806,54.983870967741936,4.801408450704225,False,False,False
/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/AT&T 2.pdf,AT&T 2.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,671240551685,32DK04G013532338,PDBT,22 AGO 24,23 OCT 24,2024-08-22,2024-10-23,5117,24043.0,24043.0,63.0,2024-08-22__2024-10-23,1,1,False,False,81.22222222222223,381.63492063492066,4.698651553644714,False,False,False
/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/AT&T 2.pdf,AT&T 2.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,671240551685,32DK04G013532338,PDBT,20 JUN 24,22 AGO 24,2024-06-20,2024-08-22,5448,25448.0,25448.0,64.0,2024-06-20__2024-08-22,1,1,False,False,85.125,397.625,4.671071953010279,False,False,False
/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/AT&T 2.pdf,AT&T 2.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,671240551685,32DK04G013532338,PDBT,16 MAY 24,20 JUN 24,2024-05-16,2024-06-20,2773,12720.0,12720.0,36.0,2024-05-16__2024-06-20,1,1,False,False,77.02777777777777,353.3333333333333,4.587089794446448,False,False,False
/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/BARBER JASS.pdf,BARBER JASS.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,671230253228,32DK04G013530292,PDBT,23 ABR 25,20 JUN 25,2025-04-23,2025-06-20,4067,19133.0,5000.0,59.0,2025-04-23__2025-06-20,1,1,False,False,68.9322033898305,324.2881355932203,4.704450454880748,False,False,False
/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/BARBER JASS.pdf,BARBER JASS.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,671230253228,32DK04G013530292,PDBT,20 FEB 25,23 ABR 25,2025-02-20,2025-04-23,4019,18909.0,18909.0,63.0,2025-02-20__2025-04-23,1,1,False,False,63.79365079365079,300.14285714285717,4.7049017168449865,False,False,False
/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/BARBER JASS.pdf,BARBER JASS.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,671230253228,32DK04G013530292,PDBT,23 DIC 24,20 FEB 25,2024-12-23,2025-02-20,3136,14753.0,14753.0,60.0,2024-12-23__2025-02-20,1,1,False,False,52.266666666666666,245.88333333333333,4.704400510204081,False,False,False
/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/BARBER JASS.pdf,BARBER JASS.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,671230253228,32DK04G013530292,PDBT,23 OCT 24,23 DIC 24,2024-10-23,2024-12-23,2970,13990.0,13990.0,62.0,2024-10-23__2024-12-23,1,1,False,False,47.903225806451616,225.6451612903226,4.71043771043771,False,False,False
/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/BARBER JASS.pdf,BARBER JASS.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,671230253228,32DK04G013530292,PDBT,22 AGO 24,23 OCT 24,2024-08-22,2024-10-23,3612,16997.0,16997.0,63.0,2024-08-22__2024-10-23,1,1,False,False,57.333333333333336,269.7936507936508,4.705703211517165,False,False,False
